member_ID,Start_Node,End_Node,Governing_Load_Case,P,Mx,My,DC_Ratio
BE0044,P000802,P000902,Wind Y,,,,0.018771756
BE0045,P000802,P000803,Wind Y,,,,0.018771756
BE0046,P000902,P000903,Wind Y,,,,0.018771756
BE0063,P000803,P000903,Wind Y,,,,0.018771756
BE0064,P000803,P000804,Wind Y,,,,0.018771756
BE0065,P000903,P000904,Wind Y,,,,0.018771756
BE0082,P000804,P000904,Wind Y,,,,0.018771756
BE0161,P010802,P010902,Wind Y,,,,1.708686229
BE0162,P010802,P010803,Wind Y,,,,0.322565527
BE0163,P010902,P010903,Wind Y,,,,0.069581975
BE0180,P010803,P010903,Wind Y,,,,1.45093464
BE0181,P010803,P010804,Wind Y,,,,0.322565527
BE0182,P010903,P010904,Wind Y,,,,0.069581975
BE0199,P010804,P010904,Wind Y,,,,1.702290497
BR0118,P000802,P000903,Wind Y,,,,0.037543511
BR0120,P000802,P010902,Wind Y,,,,2.811945517
BR0121,P000802,P010803,Wind Y,,,,0.504441573
BR0122,P000902,P000803,Wind Y,,,,0.037543511
BR0124,P000902,P010802,Wind Y,,,,1.402697662
BR0125,P000902,P010903,Wind Y,,,,0.189262999
BR0173,P000803,P000904,Wind Y,,,,0.037543511
BR0174,P000803,P010802,Wind Y,,,,0.416291192
BR0176,P000803,P010903,Wind Y,,,,2.819805462
BR0177,P000803,P010804,Wind Y,,,,0.403636643
BR0178,P000903,P000804,Wind Y,,,,0.037543511
BR0179,P000903,P010902,Wind Y,,,,0.218102588
BR0180,P000903,P010803,Wind Y,,,,1.537441136
BR0181,P000903,P010904,Wind Y,,,,0.21967224
BR0229,P000804,P010803,Wind Y,,,,0.520259405
BR0231,P000804,P010904,Wind Y,,,,2.804285435
BR0234,P000904,P010903,Wind Y,,,,0.186343392
BR0235,P000904,P010804,Wind Y,,,,1.392221153
BR0460,P010802,P010903,Wind Y,,,,0.422628169
BR0464,P010902,P010803,Wind Y,,,,0.497408683
BR0515,P010803,P010904,Wind Y,,,,0.497408683
BR0520,P010903,P010804,Wind Y,,,,0.422628169
CO0023,P000802,P010802,Wind Y,,,,2.798760646
CO0024,P000902,P010902,Wind Y,,,,0.379051051
CO0033,P000803,P010803,Wind Y,,,,2.01506692
CO0034,P000903,P010903,Wind Y,,,,0.361661999
CO0043,P000804,P010804,Wind Y,,,,2.790802005
CO0044,P000904,P010904,Wind Y,,,,0.375360517
