Mode,Frequency
1,10.22584189
2,10.30617843
3,13.14211314
4,16.15597015
5,17.5732351
6,20.36190465
7,21.228703
8,22.50594384
9,29.28454169
10,29.36972667
11,29.93686491
12,31.22321536
13,31.52135625
14,32.38963474
15,32.44709685
16,32.57543075
17,33.82265
18,33.82847072
19,33.82847072
20,33.8292551
21,175.8483782
22,229.5639139
23,250.4881718
24,250.6302896
25,250.6987095
26,257.8711454
27,284.2124462
28,294.0483706
29,351.2092619
30,508.6080207
31,508.6443106
32,508.660499
33,508.6714555
34,508.6714555
35,508.6714555
36,508.6714555
37,508.6755499
38,508.7104546
39,508.7579266
40,508.860799
41,508.8730079
42,508.8821129
43,530.6953221
44,531.2206853
45,531.2282789
46,531.2877501
47,537.6893317
48,569.0399644
49,577.7258926
50,604.6206357
